order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
9,2025-07-30T02:25:26.000-03:00,2025-07-31T02:25:26.000-03:00,Entregue,4,3299.9,Cartão de crédito,1157,Dr. Breno Oliveira,alvesmiguel@example.org,Borges do Galho,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
11,2025-05-22T15:03:13.000-03:00,2025-05-26T15:03:13.000-03:00,Entregue,1,3299.9,Boleto,1317,Dr. Vicente Marques,lorenzoalbuquerque@example.org,Câmara das Flores,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
17,2025-03-06T06:15:26.000-03:00,2025-03-08T06:15:26.000-03:00,Entregue,3,3299.9,Pix,343,Clara Gomes,da-cruzjuan@example.com,da Costa da Prata,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,
22,2025-03-11T01:47:59.000-03:00,2025-03-12T01:47:59.000-03:00,Entregue,1,3299.9,Cartão de crédito,427,Sr. Léo Nogueira,danilocaldeira@example.net,Monteiro de Aparecida,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
24,2025-02-25T02:07:45.000-03:00,2025-02-27T02:07:45.000-03:00,Entregue,2,3299.9,Cartão de crédito,21,Bruno da Conceição,costavitor@example.org,Lopes,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
25,2025-04-28T19:40:15.000-03:00,2025-04-30T19:40:15.000-03:00,Entregue,1,3299.9,Pix,407,Sr. Miguel Albuquerque,luancasa-grande@example.org,Cavalcante de Andrade,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
49,2025-09-26T14:58:53.000-03:00,2025-10-02T14:58:53.000-03:00,Entregue,4,3299.9,Cartão de crédito,106,Ana Cecília Pinto,mariah79@example.org,Pires,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
56,2025-07-02T18:57:37.000-03:00,2025-07-03T18:57:37.000-03:00,Entregue,2,3299.9,Cartão de crédito,1369,Maria Fernanda Novais,erick11@example.com,Farias de Viana,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
60,2025-12-03T00:11:51.000-03:00,2025-12-09T00:11:51.000-03:00,Em trânsito,3,3299.9,Cartão de crédito,1375,Valentim Teixeira,heitorgoncalves@example.org,das Neves da Serra,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
62,2025-11-06T15:54:27.000-03:00,2025-11-11T15:54:27.000-03:00,Entregue,4,3299.9,Cartão de crédito,1063,Carolina Sampaio,nogueiralucca@example.com,Caldeira,SC,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
64,2025-09-17T10:09:17.000-03:00,2025-09-19T10:09:17.000-03:00,Entregue,2,3299.9,Pix,159,Pedro Henrique Abreu,rafaelaalbuquerque@example.net,Fonseca,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
68,2025-07-20T22:20:15.000-03:00,2025-07-25T22:20:15.000-03:00,Entregue,2,3299.9,Boleto,445,Benício Melo,ana-vitoria88@example.org,Ramos de Campos,BA,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
70,2025-07-21T22:58:35.000-03:00,2025-07-25T22:58:35.000-03:00,Entregue,1,3299.9,Pix,952,João Vitor Jesus,nda-rosa@example.net,Rodrigues de Goiás,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
75,2025-01-25T23:31:46.000-03:00,2025-01-26T23:31:46.000-03:00,Em trânsito,1,3299.9,Pix,1196,Ana Julia Rocha,meloolivia@example.org,Borges de Goiás,PE,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
81,2025-10-26T08:58:28.000-03:00,2025-11-01T08:58:28.000-03:00,Entregue,3,3299.9,Pix,887,Gael Henrique Farias,manuellada-cruz@example.com,Vargas do Campo,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
87,2025-07-10T07:01:07.000-03:00,2025-07-17T07:01:07.000-03:00,Entregue,2,3299.9,Cartão de crédito,521,Evelyn Vasconcelos,henry-gabriel97@example.net,Brito,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Entrega atrasada
95,2025-09-05T21:52:08.000-03:00,2025-09-07T21:52:08.000-03:00,Entregue,2,3299.9,Cartão de crédito,1073,Srta. Natália Porto,maria-fernanda86@example.org,Casa Grande,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
101,2025-04-25T22:22:12.000-03:00,,Cancelado,4,3299.9,Cartão de crédito,531,João Guilherme Pastor,cauaribeiro@example.com,Barbosa da Serra,BA,1,Smartphone Alpha,Eletrônicos,TechBrasil,
107,2025-11-09T08:34:35.000-03:00,2025-11-12T08:34:35.000-03:00,Entregue,4,3299.9,Pix,915,Ana Beatriz Borges,da-pazjoaquim@example.com,Duarte,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
122,2025-11-18T12:49:29.000-03:00,2025-11-25T12:49:29.000-03:00,Entregue,3,3299.9,Pix,419,Vitor Gabriel Carvalho,bianca10@example.org,da Conceição da Prata,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
123,2025-09-03T17:51:43.000-03:00,2025-09-05T17:51:43.000-03:00,Entregue,4,3299.9,Pix,988,Ana Clara Nunes,hsa@example.org,Rezende das Flores,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
124,2025-08-29T18:35:50.000-03:00,2025-09-02T18:35:50.000-03:00,Entregue,1,3299.9,Cartão de crédito,1479,Sabrina Cavalcante,theodorocamara@example.com,da Mota,SC,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
127,2025-02-01T11:38:42.000-03:00,2025-02-05T11:38:42.000-03:00,Entregue,4,3299.9,Cartão de crédito,969,Sr. Rhavi Dias,da-matalara@example.com,Garcia,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
130,2025-02-18T11:23:42.000-03:00,2025-02-19T11:23:42.000-03:00,Entregue,3,3299.9,Cartão de crédito,509,Raul Barbosa,hadassafonseca@example.com,Camargo,GO,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
154,2025-11-22T12:39:51.000-03:00,2025-11-26T12:39:51.000-03:00,Entregue,3,3299.9,Pix,353,Sr. Isaque Oliveira,henrique04@example.net,Duarte,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
172,2025-10-16T00:24:30.000-03:00,2025-10-17T00:24:30.000-03:00,Entregue,2,3299.9,Boleto,1014,Benício Oliveira,raquelnogueira@example.com,Costela,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
175,2025-03-31T06:14:27.000-03:00,2025-04-02T06:14:27.000-03:00,Entregue,2,3299.9,Cartão de crédito,1283,Larissa da Rosa,benicio35@example.com,Almeida,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
182,2025-05-19T18:29:00.000-03:00,2025-05-24T18:29:00.000-03:00,Entregue,4,3299.9,Boleto,1233,Srta. Hellena Oliveira,gabrielgoncalves@example.net,Lima do Norte,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
184,2025-01-10T21:47:57.000-03:00,2025-01-13T21:47:57.000-03:00,Entregue,2,3299.9,Cartão de crédito,1495,Dr. Luiz Otávio Silva,smendes@example.com,Fonseca dos Dourados,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
201,2025-05-28T03:47:57.000-03:00,2025-06-02T03:47:57.000-03:00,Entregue,4,3299.9,Pix,1036,Sabrina Jesus,maria-alicemelo@example.org,Carvalho de Souza,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
204,2025-04-19T12:43:46.000-03:00,2025-04-24T12:43:46.000-03:00,Entregue,2,3299.9,Pix,980,Liz da Costa,ravy38@example.org,Almeida,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
211,2025-09-18T13:13:35.000-03:00,2025-09-20T13:13:35.000-03:00,Entregue,3,3299.9,Pix,630,Lorenzo Caldeira,duarterafael@example.org,da Rosa,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
213,2025-02-07T03:39:59.000-03:00,2025-02-08T03:39:59.000-03:00,Entregue,4,3299.9,Cartão de crédito,364,Lucca Pinto,larada-costa@example.net,Silveira,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
223,2025-09-08T15:22:58.000-03:00,2025-09-13T15:22:58.000-03:00,Entregue,3,3299.9,Boleto,1013,Heitor Costela,usilveira@example.net,Brito,GO,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
226,2025-08-04T09:07:01.000-03:00,2025-08-06T09:07:01.000-03:00,Entregue,1,3299.9,Cartão de crédito,738,Rhavi Cavalcante,marcos-viniciusvieira@example.net,da Conceição,BA,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
234,2025-10-09T19:53:42.000-03:00,2025-10-12T19:53:42.000-03:00,Entregue,4,3299.9,Cartão de crédito,761,Jade Souza,danielagarcia@example.com,Moreira,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
240,2025-04-24T22:57:33.000-03:00,2025-04-28T22:57:33.000-03:00,Entregue,1,3299.9,Pix,1220,Valentina da Cruz,hcastro@example.org,Rezende da Serra,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
242,2025-03-02T14:29:16.000-03:00,2025-03-04T14:29:16.000-03:00,Entregue,3,3299.9,Boleto,311,Anna Liz Peixoto,da-rosapedro-miguel@example.org,Montenegro do Campo,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
243,2025-06-03T15:08:37.000-03:00,2025-06-07T15:08:37.000-03:00,Entregue,2,3299.9,Boleto,262,Nathan Sales,henry-gabrielda-costa@example.net,Martins dos Dourados,DF,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
244,2025-08-20T07:00:49.000-03:00,2025-08-23T07:00:49.000-03:00,Entregue,4,3299.9,Cartão de crédito,1443,Yan Monteiro,sarasiqueira@example.com,Teixeira,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
254,2025-06-07T11:59:41.000-03:00,2025-06-11T11:59:41.000-03:00,Entregue,1,3299.9,Cartão de crédito,561,Valentina Andrade,henrysampaio@example.org,Aparecida,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
262,2025-01-21T19:33:41.000-03:00,2025-01-25T19:33:41.000-03:00,Entregue,4,3299.9,Boleto,134,Sr. Pedro Cardoso,ovargas@example.org,Cassiano da Mata,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Entrega atrasada
270,2025-05-05T08:54:26.000-03:00,2025-05-08T08:54:26.000-03:00,Entregue,1,3299.9,Boleto,859,Maria Luísa Cassiano,lunapires@example.com,Dias do Campo,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
271,2025-03-06T11:15:03.000-03:00,2025-03-13T11:15:03.000-03:00,Entregue,2,3299.9,Boleto,130,João Castro,amoreira@example.com,Aparecida,MG,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
284,2025-06-29T14:04:01.000-03:00,2025-07-02T14:04:01.000-03:00,Em trânsito,2,3299.9,Cartão de crédito,336,Yuri Jesus,da-matalorena@example.com,da Mata Paulista,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
295,2025-05-21T13:57:01.000-03:00,2025-05-22T13:57:01.000-03:00,Entregue,3,3299.9,Cartão de crédito,1416,Valentina Fernandes,cirinoluiz-miguel@example.org,Dias,GO,1,Smartphone Alpha,Eletrônicos,TechBrasil,
298,2025-03-14T20:24:46.000-03:00,2025-03-21T20:24:46.000-03:00,Entregue,4,3299.9,Boleto,964,Davi Luiz da Rosa,piresluana@example.com,Nascimento,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
306,2025-01-29T14:18:58.000-03:00,2025-02-04T14:18:58.000-03:00,Entregue,4,3299.900000000107,Boleto,846,Vitor Hugo Cunha,jcunha@example.org,Souza do Campo,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
310,2025-06-09T17:19:06.000-03:00,2025-06-10T17:19:06.000-03:00,Entregue,4,3299.9,Cartão de crédito,672,Yuri Porto,correiamaria-cecilia@example.org,Siqueira,CE,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
313,2025-02-20T12:07:19.000-03:00,2025-02-27T12:07:19.000-03:00,Entregue,1,3299.9,Pix,1154,Felipe Andrade,fonsecaantonio@example.org,Sampaio,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
316,2025-10-27T20:55:00.000-03:00,2025-10-30T20:55:00.000-03:00,Entregue,4,3299.9,Cartão de crédito,467,Sra. Caroline Novais,costelavitoria@example.com,Duarte do Amparo,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
321,2025-05-01T02:05:23.000-03:00,2025-05-03T02:05:23.000-03:00,Entregue,4,3299.900000000107,Cartão de crédito,345,Bernardo da Mota,bmelo@example.com,Oliveira,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,"Muito bom, recomendo"
323,2025-05-22T01:27:09.000-03:00,2025-05-28T01:27:09.000-03:00,Entregue,2,3299.9,Pix,382,Anthony Martins,jesusarthur@example.com,Campos,RS,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
344,2025-10-05T13:51:00.000-03:00,2025-10-10T13:51:00.000-03:00,Entregue,1,3299.9,Pix,101,Eduarda Araújo,rezendeayla@example.org,Almeida do Campo,SP,1,Smartphone Alpha,Eletrônicos,TechBrasil,Excelente atendimento
345,2025-02-09T09:32:25.000-03:00,2025-02-13T09:32:25.000-03:00,Em trânsito,4,3299.9,Boleto,1383,Olívia Rios,ottosiqueira@example.org,da Luz,GO,1,Smartphone Alpha,Eletrônicos,TechBrasil,Produto chegou antes do esperado
349,2025-04-05T14:17:24.000-03:00,2025-04-09T14:17:24.000-03:00,Entregue,3,3299.9,Cartão de crédito,820,Antônio Gonçalves,mirella46@example.net,da Costa,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
354,2025-04-09T04:28:57.000-03:00,2025-04-11T04:28:57.000-03:00,Entregue,1,3299.9,Boleto,1087,Eloah Aragão,caroline47@example.com,Sales de Viana,PR,1,Smartphone Alpha,Eletrônicos,TechBrasil,Qualidade ruim
375,2025-08-14T13:57:21.000-03:00,2025-08-20T13:57:21.000-03:00,Entregue,4,3299.9,Cartão de crédito,1037,Rebeca Leão,estercampos@example.net,Guerra do Sul,RJ,1,Smartphone Alpha,Eletrônicos,TechBrasil,Não recomendo
