order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
874,2025-02-09T11:17:51.000-03:00,2025-02-14T11:17:51.000-03:00,Entregue,2,149.9,Cartão de crédito,77,João Guilherme Cassiano,acasa-grande@example.net,Farias das Flores,RS,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
918,2025-03-16T22:48:33.000-03:00,2025-03-17T22:48:33.000-03:00,Entregue,2,149.9,Pix,232,Maya Lima,vitor-hugo95@example.net,Teixeira,DF,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
1226,2025-07-11T02:16:34.000-03:00,2025-07-12T02:16:34.000-03:00,Entregue,1,149.9,Cartão de crédito,680,Luiza da Paz,ana-cecilialeao@example.com,Cunha do Oeste,MG,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
1699,2025-09-01T23:53:26.000-03:00,2025-09-03T23:53:26.000-03:00,Entregue,2,149.9,Pix,456,Sr. Vitor Gabriel Melo,liam53@example.com,Correia da Praia,MG,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
1808,2025-10-16T00:31:54.000-03:00,2025-10-20T00:31:54.000-03:00,Entregue,2,149.9,Boleto,8,Lunna Fogaça,liz92@example.org,Silva,RJ,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
2044,2025-04-20T16:08:17.000-03:00,2025-04-26T16:08:17.000-03:00,Entregue,1,149.9,Boleto,470,Dr. Cauê Nunes,gcavalcanti@example.org,Peixoto,RJ,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
2606,2025-07-19T12:45:48.000-03:00,2025-07-23T12:45:48.000-03:00,Entregue,4,149.9,Pix,262,Elisa Siqueira,casa-grandedavi-lucas@example.com,Souza do Amparo,RJ,10,Engenharia de Dados,Livros,Livraria Central,Produto chegou antes do esperado
2721,2025-04-10T06:37:34.000-03:00,,Cancelado,2,149.9,Boleto,269,Gabriela Dias,pimentarael@example.org,Garcia de da Cunha,SP,10,Engenharia de Dados,Livros,Livraria Central,
3698,2025-08-25T16:51:09.000-03:00,,Cancelado,3,149.9,Boleto,509,José Siqueira,siqueiraantonio@example.com,Rios,PE,10,Engenharia de Dados,Livros,Livraria Central,
4293,2025-08-22T10:57:15.000-03:00,2025-08-25T10:57:15.000-03:00,Entregue,1,149.9,Pix,919,Sr. Henry Gabriel da Mota,vieirajoaquim@example.net,Castro de Sampaio,MG,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
4799,2025-06-04T03:10:43.000-03:00,2025-06-08T03:10:43.000-03:00,Entregue,4,149.9,Boleto,630,Bruna Siqueira,yasmin12@example.com,Pimenta,SC,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
5110,2025-11-20T04:46:19.000-03:00,2025-11-21T04:46:19.000-03:00,Entregue,2,149.9,Cartão de crédito,495,Joaquim Montenegro,maria-lizteixeira@example.com,Camargo de Campos,DF,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
5217,2025-11-01T15:57:41.000-03:00,2025-11-08T15:57:41.000-03:00,Em trânsito,1,149.9,Pix,389,Raul da Rosa,danielpastor@example.net,da Paz das Flores,SP,10,Engenharia de Dados,Livros,Livraria Central,Produto chegou antes do esperado
5785,2025-03-13T06:24:48.000-03:00,2025-03-14T06:24:48.000-03:00,Entregue,2,149.9,Boleto,988,Anthony Souza,isisandrade@example.org,Barbosa,SP,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
5995,2025-04-12T11:36:29.000-03:00,2025-04-19T11:36:29.000-03:00,Entregue,4,149.9,Cartão de crédito,876,Arthur Leão,juliacaldeira@example.com,Gonçalves de Mendes,SP,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
6639,2025-02-04T22:37:52.000-03:00,2025-02-09T22:37:52.000-03:00,Entregue,1,149.9,Cartão de crédito,209,Gustavo Henrique Freitas,da-matabarbara@example.org,Cassiano de Sá,RS,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
6855,2025-01-18T15:28:23.000-03:00,2025-01-21T15:28:23.000-03:00,Entregue,2,149.9,Cartão de crédito,19,Lucas Freitas,siqueiramarcos-vinicius@example.org,Ribeiro das Pedras,PR,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
6933,2025-03-21T11:34:22.000-03:00,2025-03-22T11:34:22.000-03:00,Entregue,4,149.9,Boleto,309,Erick da Rocha,ramosisis@example.net,Rezende,SP,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
7103,2025-09-08T11:39:00.000-03:00,2025-09-09T11:39:00.000-03:00,Em trânsito,2,149.9,Pix,270,Luara Cavalcante,montenegrobella@example.net,Cassiano da Praia,SP,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
10527,2025-06-03T04:48:22.000-03:00,2025-06-08T04:48:22.000-03:00,Entregue,3,149.9,Cartão de crédito,535,Guilherme Araújo,caldeiradavi-lucas@example.net,Mendes da Prata,RJ,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
11936,2025-02-21T11:35:20.000-03:00,2025-02-28T11:35:20.000-03:00,Entregue,1,149.9,Pix,870,Catarina Vasconcelos,emanuellyrios@example.com,Pacheco de Campos,MG,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
12207,2025-04-29T09:07:32.000-03:00,2025-05-05T09:07:32.000-03:00,Entregue,2,149.9,Pix,171,Isabelly Correia,maria-clarafogaca@example.net,Montenegro do Campo,RS,10,Engenharia de Dados,Livros,Livraria Central,Produto chegou antes do esperado
13027,2025-04-22T00:09:23.000-03:00,2025-04-26T00:09:23.000-03:00,Entregue,4,149.9,Boleto,142,Heloísa Duarte,mariahcavalcante@example.com,Rodrigues,GO,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
14058,2025-01-23T22:39:28.000-03:00,2025-01-30T22:39:28.000-03:00,Entregue,2,149.9,Cartão de crédito,189,Arthur Miguel Cavalcante,sribeiro@example.net,Vargas de Ribeiro,SP,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
14160,2025-03-30T19:20:50.000-03:00,2025-03-31T19:20:50.000-03:00,Entregue,1,149.9,Boleto,766,Luara Câmara,alvesisabel@example.net,Garcia Grande,PR,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
14536,2025-07-18T01:00:49.000-03:00,2025-07-24T01:00:49.000-03:00,Entregue,1,149.9,Cartão de crédito,633,José Nascimento,kporto@example.com,da Rosa,SP,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
14555,2025-01-17T02:03:02.000-03:00,2025-01-20T02:03:02.000-03:00,Entregue,1,149.9,Pix,796,Juan Cavalcanti,macedocarlos-eduardo@example.net,Casa Grande,SP,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
14779,2025-09-04T10:50:35.000-03:00,2025-09-05T10:50:35.000-03:00,Entregue,4,149.9,Boleto,629,Ana Vitória Câmara,vnovaes@example.net,Caldeira,GO,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
15633,2025-09-14T05:10:56.000-03:00,2025-09-19T05:10:56.000-03:00,Entregue,1,149.9,Cartão de crédito,921,Arthur da Cruz,gcamargo@example.net,Vasconcelos de Pires,RJ,10,Engenharia de Dados,Livros,Livraria Central,
15795,2025-08-21T20:34:11.000-03:00,2025-08-25T20:34:11.000-03:00,Entregue,3,149.9,Cartão de crédito,756,Matteo Barros,ualmeida@example.com,da Conceição das Pedras,SP,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
16043,2025-11-02T08:56:10.000-03:00,2025-11-09T08:56:10.000-03:00,Em trânsito,4,149.9,Cartão de crédito,557,Sra. Melissa Cunha,davi96@example.net,Ramos,BA,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
16574,2025-10-03T01:04:45.000-03:00,2025-10-10T01:04:45.000-03:00,Entregue,2,149.9,Pix,418,Caroline Câmara,laurabrito@example.net,Fernandes,GO,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
16968,2025-06-01T16:47:35.000-03:00,2025-06-07T16:47:35.000-03:00,Entregue,1,149.9,Pix,664,Lorena Gonçalves,araujogustavo-henrique@example.net,Sá,RJ,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
17955,2025-07-19T23:25:45.000-03:00,2025-07-23T23:25:45.000-03:00,Entregue,4,149.9,Boleto,994,Srta. Letícia Macedo,ana46@example.net,Ribeiro,SP,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
18405,2025-09-02T17:57:32.000-03:00,2025-09-03T17:57:32.000-03:00,Entregue,2,149.9,Pix,758,Matheus da Costa,uvargas@example.net,Cavalcante do Sul,RS,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
18654,2025-06-08T22:10:03.000-03:00,2025-06-09T22:10:03.000-03:00,Entregue,2,149.9,Pix,992,Benjamim da Rosa,da-costaoliver@example.net,Gomes Paulista,RS,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
20132,2025-12-05T14:58:27.000-03:00,2025-12-09T14:58:27.000-03:00,Entregue,2,149.9,Boleto,340,Arthur da Cunha,olivia53@example.org,Correia Paulista,MG,10,Engenharia de Dados,Livros,Livraria Central,
20170,2025-02-06T17:57:13.000-03:00,2025-02-10T17:57:13.000-03:00,Entregue,1,149.9,Boleto,498,Mariah Cavalcanti,isaacgomes@example.net,da Mota,PR,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
20540,2025-03-14T03:55:16.000-03:00,2025-03-19T03:55:16.000-03:00,Entregue,1,149.9,Pix,884,Bruna Fernandes,ana-carolinasa@example.net,da Costa,SP,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
