order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
28,2025-11-01T01:49:32.000-03:00,2025-11-02T01:49:32.000-03:00,Entregue,1,4599.0,Cartão de crédito,845,Sr. Carlos Eduardo Borges,rbrito@example.net,da Costa Paulista,RJ,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Não recomendo
65,2025-05-25T19:39:00.000-03:00,2025-05-27T19:39:00.000-03:00,Entregue,1,4599.0,Boleto,420,Emanuella Souza,vvasconcelos@example.com,Abreu,RJ,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
133,2025-12-06T14:58:20.000-03:00,2025-12-13T14:58:20.000-03:00,Entregue,4,4599.0,Pix,892,Luigi Pires,fmarques@example.com,Silveira,GO,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
137,2025-10-28T13:38:05.000-03:00,2025-10-31T13:38:05.000-03:00,Entregue,1,4599.0,Boleto,373,Gustavo Henrique Guerra,barbosagustavo-henrique@example.org,Pacheco Grande,MG,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Não recomendo
148,2025-11-01T19:42:36.000-03:00,2025-11-02T19:42:36.000-03:00,Entregue,3,4599.0,Cartão de crédito,691,Gabriel Almeida,lauracunha@example.net,Cassiano,SP,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
211,2025-01-01T18:28:32.000-03:00,2025-01-07T18:28:32.000-03:00,Entregue,1,4599.0,Cartão de crédito,799,Bárbara Melo,tcarvalho@example.org,Pinto,MG,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
251,2025-08-10T03:18:53.000-03:00,2025-08-14T03:18:53.000-03:00,Em trânsito,1,4599.0,Boleto,834,Felipe Moraes,pintojade@example.net,Carvalho,MG,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Produto chegou antes do esperado
321,2025-09-29T20:24:54.000-03:00,2025-10-04T20:24:54.000-03:00,Entregue,2,4599.0,Pix,887,Isaque Cirino,rebecagarcia@example.net,Fernandes do Amparo,RS,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
463,2025-01-21T15:07:00.000-03:00,2025-01-27T15:07:00.000-03:00,Entregue,1,4599.0,Cartão de crédito,823,Vinícius Gomes,guerraluiz-gustavo@example.net,Peixoto,SC,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Excelente atendimento
497,2025-12-14T20:09:14.000-03:00,2025-12-17T20:09:14.000-03:00,Entregue,4,4599.0,Pix,138,Vinícius Cunha,novaismaya@example.org,Rodrigues,RS,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Produto chegou antes do esperado
580,2025-03-23T17:48:24.000-03:00,2025-03-30T17:48:24.000-03:00,Entregue,3,4599.0,Pix,833,Leandro Sales,csiqueira@example.org,da Luz das Pedras,SP,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
588,2025-09-08T00:51:06.000-03:00,2025-09-09T00:51:06.000-03:00,Em trânsito,4,4599.0,Cartão de crédito,294,Sr. Vitor Gabriel da Luz,vcorreia@example.net,Sampaio da Prata,SC,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
756,2025-10-12T22:43:43.000-03:00,2025-10-19T22:43:43.000-03:00,Entregue,2,4599.0,Pix,632,Dr. Thiago Abreu,da-cunhalorena@example.org,Camargo da Serra,PR,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Não recomendo
950,2025-09-05T04:48:04.000-03:00,2025-09-06T04:48:04.000-03:00,Em trânsito,3,4599.0,Cartão de crédito,590,Vinicius Cardoso,murilo24@example.net,Azevedo de Câmara,RJ,2,Notebook Beta,Eletrônicos,Eletrônicos do Sul,Produto chegou antes do esperado
